source_path,module,old_fqcn,target_fqcn,role,phase
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRunContext.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRunContext,com.shiyu.ai.agent.contract.runtime.AiRunContext,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRunEvent.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRunEvent,com.shiyu.ai.agent.contract.runtime.AiRunEvent,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRunEventType.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRunEventType,com.shiyu.ai.agent.contract.runtime.AiRunEventType,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRunRepository.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRunRepository,com.shiyu.ai.agent.contract.runtime.AiRunRepository,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRunSource.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRunSource,com.shiyu.ai.agent.contract.runtime.AiRunSource,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRunStatus.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRunStatus,com.shiyu.ai.agent.contract.runtime.AiRunStatus,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRuntimePort.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRuntimePort,com.shiyu.ai.agent.contract.runtime.AiRuntimePort,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/ContextAssemblyPort.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.ContextAssemblyPort,com.shiyu.ai.agent.contract.runtime.ContextAssemblyPort,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/ContextCitation.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.ContextCitation,com.shiyu.ai.agent.contract.runtime.ContextCitation,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/ContextItem.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.ContextItem,com.shiyu.ai.agent.contract.runtime.ContextItem,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/ContextPolicy.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.ContextPolicy,com.shiyu.ai.agent.contract.runtime.ContextPolicy,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/ContextQuery.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.ContextQuery,com.shiyu.ai.agent.contract.runtime.ContextQuery,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/ContextRetrievalPort.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.ContextRetrievalPort,com.shiyu.ai.agent.contract.runtime.ContextRetrievalPort,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/ContextTrace.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.ContextTrace,com.shiyu.ai.agent.contract.runtime.ContextTrace,contract,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/AgentDefinition.java,shiyu-agent-implementation,com.shiyu.ai.agent.AgentDefinition,com.shiyu.ai.agent.AgentDefinition,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/AgentVersion.java,shiyu-agent-implementation,com.shiyu.ai.agent.AgentVersion,com.shiyu.ai.agent.AgentVersion,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/AgentImplementationModule.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.AgentImplementationModule,com.shiyu.ai.agent.implementation.AgentImplementationModule,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/builder/AgentBuilder.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.builder.AgentBuilder,com.shiyu.ai.agent.implementation.builder.AgentBuilder,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/cache/AgentCacheManager.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.cache.AgentCacheManager,com.shiyu.ai.agent.implementation.cache.AgentCacheManager,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/cache/AgentLoader.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.cache.AgentLoader,com.shiyu.ai.agent.implementation.cache.AgentLoader,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/checkpoint/Checkpoint.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.checkpoint.Checkpoint,com.shiyu.ai.agent.implementation.checkpoint.Checkpoint,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/checkpoint/CheckpointManager.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.checkpoint.CheckpointManager,com.shiyu.ai.agent.implementation.checkpoint.CheckpointManager,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/checkpoint/CheckpointStore.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.checkpoint.CheckpointStore,com.shiyu.ai.agent.implementation.checkpoint.CheckpointStore,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/checkpoint/DbCheckpointStore.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.checkpoint.DbCheckpointStore,com.shiyu.ai.agent.implementation.checkpoint.DbCheckpointStore,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/config/AgentMemoryConfiguration.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.config.AgentMemoryConfiguration,com.shiyu.ai.agent.implementation.config.AgentMemoryConfiguration,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/config/AgentPersistenceConfiguration.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.config.AgentPersistenceConfiguration,com.shiyu.ai.agent.implementation.config.AgentPersistenceConfiguration,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/config/AgentStartupConfig.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.config.AgentStartupConfig,com.shiyu.ai.agent.implementation.config.AgentStartupConfig,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/config/DataSourceApiConstants.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.config.DataSourceApiConstants,com.shiyu.ai.agent.implementation.config.DataSourceApiConstants,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/config/IntentDefApplicationRunner.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.config.IntentDefApplicationRunner,com.shiyu.ai.agent.implementation.config.IntentDefApplicationRunner,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/enums/AgentExecutionStatus.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.enums.AgentExecutionStatus,com.shiyu.ai.agent.implementation.domain.enums.AgentExecutionStatus,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/enums/AgentVersionStatus.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.enums.AgentVersionStatus,com.shiyu.ai.agent.implementation.domain.enums.AgentVersionStatus,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/enums/NodeExecutionStatus.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.enums.NodeExecutionStatus,com.shiyu.ai.agent.implementation.domain.enums.NodeExecutionStatus,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/AgentCheckpointBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.AgentCheckpointBO,com.shiyu.ai.agent.implementation.domain.model.AgentCheckpointBO,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/AgentDefBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.AgentDefBO,com.shiyu.ai.agent.implementation.domain.model.AgentDefBO,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/AgentExecutionBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.AgentExecutionBO,com.shiyu.ai.agent.implementation.domain.model.AgentExecutionBO,implementation,5
